FaultType,GroundResistance,PhaseA_Max,PhaseB_Max,PhaseC_Max,Ground_Max
Single_Line_to_Ground_Fault_C_Ground,0.3,131.4745115,131.4747721,733.6813691,718.1654603
No_Fault,0.3,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.4,767.3107449,700.1110009,792.7979065,381.3484177
Three_Phase_Short_CKT_Fault_ABC,0.4,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.4,1056.737277,714.637293,131.5295395,712.0267349
Double_Line_to_Ground_Fault_AC_Ground,0.4,985.9298075,113.1388187,1134.183583,473.9600404
Double_Line_to_Ground_Fault_BC_Ground,0.4,132.2908364,720.5247322,831.2422712,354.2384918
Line_to_Line_Fault_AB,0.4,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.4,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.4,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.4,948.623348,131.4328224,131.3991054,641.4631704
Single_Line_to_Ground_Fault_B_Ground,0.4,127.1617176,435.7179114,89.38215135,799.721783
Single_Line_to_Ground_Fault_C_Ground,0.4,131.4239301,131.4241586,715.2706608,692.1077235
No_Fault,0.4,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.5,767.3107449,700.1110009,792.7979065,386.4282229
Three_Phase_Short_CKT_Fault_ABC,0.5,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.5,1062.830787,730.3522975,131.5138911,709.2078617
Double_Line_to_Ground_Fault_AC_Ground,0.5,772.4252139,131.5687146,1141.816852,474.3020408
Double_Line_to_Ground_Fault_BC_Ground,0.5,133.3801025,715.6736909,841.5408439,361.6581318
Line_to_Line_Fault_AB,0.5,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.5,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.5,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.5,931.5392576,131.3804047,131.3469479,665.4409199
Single_Line_to_Ground_Fault_B_Ground,0.5,130.2383999,527.8682705,90.59378093,775.690009
Single_Line_to_Ground_Fault_C_Ground,0.5,67.94482122,124.8629182,965.0566745,689.5371366
No_Fault,0.5,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.6,767.3107449,700.1110009,792.7979065,391.7319832
Three_Phase_Short_CKT_Fault_ABC,0.6,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.6,1068.438328,670.7602495,85.04686617,616.0567595
Double_Line_to_Ground_Fault_AC_Ground,0.6,861.0950641,77.50355259,1100.897454,474.6674496
Double_Line_to_Ground_Fault_BC_Ground,0.6,133.3285653,717.7914786,854.9721424,368.7789529
Line_to_Line_Fault_AB,0.6,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.6,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.6,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.6,914.9161253,113.2714666,94.94268915,688.9460095
Single_Line_to_Ground_Fault_B_Ground,0.6,131.3193374,566.3137278,131.3190069,751.898229
Single_Line_to_Ground_Fault_C_Ground,0.6,70.42275141,128.0985509,973.5783665,675.6856613
No_Fault,0.6,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.7,767.3107449,700.1110009,792.7979065,397.2557454
Three_Phase_Short_CKT_Fault_ABC,0.7,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.7,1073.567135,759.6234015,131.4792183,702.653469
Double_Line_to_Ground_Fault_AC_Ground,0.7,743.5395861,131.531849,1060.069175,475.0562533
Double_Line_to_Ground_Fault_BC_Ground,0.7,133.2734319,546.8990984,693.9716588,284.7957104
Line_to_Line_Fault_AB,0.7,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.7,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.7,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.7,898.7411491,131.2689838,132.1149333,711.9858191
Single_Line_to_Ground_Fault_B_Ground,0.7,132.5669564,596.6511685,93.68121511,728.3435629
Single_Line_to_Ground_Fault_C_Ground,0.7,131.253979,131.2539799,967.6376689,620.595163
No_Fault,0.7,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.8,767.3107449,700.1110009,792.7979064,402.9957143
Three_Phase_Short_CKT_Fault_ABC,0.8,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.8,1078.225082,673.1861978,85.04686695,600.9496602
Double_Line_to_Ground_Fault_AC_Ground,0.8,886.4731142,98.86269633,775.417976,475.4684572
Double_Line_to_Ground_Fault_BC_Ground,0.8,133.2148533,506.7600994,692.63015,272.5550878
Line_to_Line_Fault_AB,0.8,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.8,373.9171787,99.41207751,488.2035391,0.013630184
